name|nickname
alfreda|freddy
alfred|al
alfred|alf
alfred|alfie
alfred|alfy
alfred|fred
alice|ali
alice|alie
alice|alle
alice|alli
alice|allie
alice|ally
alice|elisie
alicia|alice
alicia|alii
alicia|alisha
alicia|alli
alicia|ally
alicia|allye
alicia|aly
alicia|elisie
alisha|ali
allan|al
allegra|ali
allegra|allie
allegra|legra
allen|al
allen|albie
allison|ali
allison|alli
allison|allie
allison|ally
allison|aly
alonzo|al
alonzo|alonso
alonzo|lon
alonzo|lonnie
alonzo|lonny
alphonso|affie
alphonso|alf
alphonso|alfie
alphonso|fons
alphonso|fonso
alphonso|fonzie
alvina|alvie
alvin|al
alvin|alv
alvin|alvey
alvin|alvi
alvin|alvie
alvin|alvy
alvin|el
alycia|alyse
alycia|lycia
alysa|alys
alysa|alyse
alysa|alysse
amanda|amanie
amanda|amanni
amanda|mandi
amanda|mandie
amanda|mandy
amaris|maris
amaya|maya
amber|amb
amber|amby
amelia|ami
amelia|amy
amelia|emily
amy|amey
amy|ami
amy|amie
amy|amiee
amy|amme
amy|ammi
anastasia|ana
anastasia|stacey
anastasia|stasia
anastasia|tasia
anderson|andy
andrea|andi
andrea|andie
andrea|andri
andrea|andy
andrea|anndee
andrea|anndi
andrea|rea
andrew|and
andrew|anddy
andrew|ande
andrew|andee
andrew|andhy
andrew|andi
andrew|andie
andrew|andy
andrew|andys
andrew|dreu
andrew|dreux
andrew|drew
andrew|drewey
andrew|drewry
andrew|dru
andrew|drue
andrew|druey
andrew|druie
andre|andy
andre|dre
andre|endy
angela|ang
angela|ange
angela|angee
angela|angeia
angela|angel
angela|anggie
angela|angi
angela|angie
angela|angil
angela|angy
angela|anngel
angela|anngie
angelica|angel
anita|anit
anita|ann
anita|nita
annabelle|annie
annabelle|anny
annabelle|bell
annabelle|bella
annabelle|belle
annabelle|nancy
annette|ann
annette|annie
annette|anny
annette|nan
annette|nancy
annette|nannie
annette|nettie
anne|annee
ann|anney
ann|anni
ann|annie
ann|anny
anthony|ant
anthony|anth
anthony|anthon
anthony|toney
anthony|tony
antoinette|ann
antoinette|rose
antoinette|toni
antoinette|tonie
antoinette|tonni
antoinette|tonnie
antoinette|tony
antonia|toni
antonia|tonia
antonia|tonie
antonia|tony
antonio|tonio
antonio|tony
april|apri
arabella|ara
arabella|bella
arabella|belle
archibald|arch
archibald|archie
arden|ard
arden|ardi
arden|ardie
ardith|ardi
ardith|ardie
aretha|retha
ariadne|ari
ariane|ari
ariel|ari
arland|arley
arland|arlie
arland|arly
arlene|arla
arlene|arle
arlene|arlee
arlene|arlie
arlene|arly
arlene|lena
arnold|arn
arnold|arndt
arnold|arne
arnold|arney
arnold|arnie
arnold|arny
arthur|art
arthur|artie
arthur|arty
arthur|turi
artis|arti
artis|artie
ashley|ash
ashley|lee
ashley|lei
ashley|leigh
asia|azie
aston|ashton
astra|asta
astrid|atti
atalanta|addi
atalanta|addie
atalanta|atlee
atalanta|atti
atalanta|attie
audrey|aud
audrey|audie
augusta|aggy
augusta|gussie
augusta|gusta
augustina|aggy
augustina|tina
augustine|gus
augustus|augie
augustus|august
augustus|augustine
augustus|gus
aurora|ora
aurora|ori
aurora|orie
aurora|rora
austin|aus
austin|aust
baby|babe
barbara|bab
barbara|babb
barbara|babette
barbara|babs
barbara|babsie
barbara|bairbe
barbara|barb
barbara|barba
barbara|barbe
barbara|barbee
barbara|barbi
barbara|barbie
barbara|bebe
barbara|bibi
barbara|bobbi
barbara|bobbie
barnabas|barney
barnard|barney
barnard|barnie
barnard|barny
barnard|birney
barrett|bar
barrett|barrie
barry|barr
bartholomew|bart
bartholomew|barth
bartholomew|bartie
bartholomew|bat
beatrice|bea
beatrice|beattie
beatrice|beatty
beatrice|bebe
beatrice|bee
beatrice|bibi
beatrice|trice
beatrice|trixie
bedelia|biddy
begay|begaye
belicia|beli
belicia|belia
belinda|bel
belinda|belle
belinda|linda
bella|bell
benedicta|benea
benedicta|benna
benedicta|benni
benedicta|binney
benedict|ben
benedict|benne
benedict|benney
benedict|benni
benedict|bennie
benedict|benny
benita|neeta
benjamin|ben
benjamin|beng
benjamin|bengi
benjamin|bengie
benjamin|bengt
benjamin|bengy
benjamin|beni
benjamin|benj
benjamin|benja
benjamin|benje
benjamin|benji
benjamin|benjie
benjamin|benjy
benjamin|benn
benjamin|benne
benjamin|benney
benjamin|benni
benjamin|bennie
benjamin|benny
benjamin|bin
benjamin|binny
benjamin|jamey
benjamin|jamie
benjamin|jamy
benjamin|mincho
berlynn|berla
bernadette|bera
bernadette|berna
bernadette|berni
bernadette|bernie
bernadine|berni
bernard|barney
bernard|barnie
bernard|barny
bernard|bear
bernard|ber
bernard|bern
bernard|berne
bernard|bernie
bernard|bernnie
bernard|berny
bernard|burne
bernard|burney
bernard|burnie
bernice|bea
bernice|berni
bernice|bernie
bernice|berniee
bernice|nicie
bertha|bea
bertha|berta
bertha|berte
bertha|bertee
bertha|berth
bertha|berthe
bertha|berthy
bertha|berti
bertha|bertie
bertha|berttie
bertha|bertty
bertha|berty
bertha|birdie
bertina|berti
berton|bert
bertram|bert
bertram|bertie
bertram|burt
beryl|berri
beryl|berrie
beryl|berry
bethany|beth
betty|bettye
beverly|bev
beverly|beve
beverly|bevie
beverly|bevvy
beverly|bevy
beverly|verly
bianca|blinnie
birdie|bird
birdie|byrd
bly|blye
bobby|bobbye
bonita|boni
bonita|bonie
bonita|bonne
bonita|bonnee
bonita|bonney
bonita|bonni
bonita|bonnie
bonita|bonny
bonita|bonnye
bradford|brad
bradley|brad
bradley|bradd
bradley|braddie
bradley|braddy
bradley|brade
bradley|bradey
brandon|brand
brandon|brando
brandon|brann
brandon|branny
brandy|brand
brandy|brann
breann|bree
brenda|bren
brenda|brena
brenda|brend
brenda|brendi
brenna|bren
brianna|bria
brianne|bryn
brianne|brynn
brianne|brynne
brian|bri
brian|bry
brian|brya
brian|rian
brian|ryan
bridget|beret
bridget|biddy
bridget|bride
bridget|bridey
bridget|gitta
brina|brinn
brina|bryn
britani|brit
brita|brit
brittany|annie
brittany|anny
brittany|brit
brittany|britt
brittany|britta
brittany|brittai
brittany|britte
brittany|brittie
broderick|brody
broderick|ricky
broderick|rod
bronson|bron
bronson|bronnie
bronson|bronny
bronwyn|bron
bronwyn|bronia
bronwyn|bronney
bronwyn|bronnie
bronwyn|bronny
bruce|bru
bruce|brucey
bruce|brucy
bruce|brue
brumback|brumbach
brunhilda|hilda
buddy|bud
burton|burt
bushman|buschman
caitlin|caeley
caitlin|cayley
calandra|caelan
calandra|cailan
calandra|calan
calandra|caylan
calandra|kalan
caleb|cale
callie|cal
callista|callie
calvin|cal
calvin|calv
calvin|calvi
calvin|calvo
calypso|cally
calypso|caly
calypso|lypsie
calypso|lypsy
cambria|cambie
cameron|cam
camile|cammie
camille|cami
candace|cace
candace|canda
candace|candi
candace|candy
candace|kandi
candace|kandy
candice|candi
candida|candi
candida|candia
carina|carin
carina|carine
carina|caryn
carlos|carl
carlos|carlo
carlton|carl
carly|carlye
carmela|carmi
carmela|carmie
carmela|leeta
carmela|lita
carmela|melita
carmen|carme
carmen|carmi
carmen|carmie
carney|car
carolann|carol
carole|carrie
caroline|carey
caroline|carol
caroline|carole
caroline|carrie
caroline|carry
caroline|cary
caroline|cassie
caroline|lynn
carolyn|carol
carolyn|carrie
carolyn|carry
carolyn|lyn
carolyn|lynn
carol|carrie
carol|carro
carroll|cary
cassandra|cass
cassandra|cassie
cassandra|sandra
cassandra|sandy
cassidy|cass
cassidy|cassey
cassidy|cassie
catherine|cassie
catherine|cath
catherine|cathay
catherine|cathe
catherine|cathee
catherine|cathey
catherine|cathi
catherine|cathie
catherine|cathy
catherine|cathye
catherine|kate
catherine|katie
cathleen|cassie
cathleen|cathi
cathleen|cathy
cathleen|lena
cecelia|cece
cecelia|cee
cecelia|ceil
cecelia|ceila
cecelia|celia
cecelia|cissy
cecelia|selia
cecelia|sheila
cecelia|sile
cecelia|sissy
cedric|cad
cedric|ced
cerise|cherise
chardonnay|char
chardonnay|chardae
chardonnay|chardon
charla|char
charlene|charl
charlene|charla
charlene|charlae
charlene|charlay
charlene|charlaye
charlene|charle
charlene|charlee
charlene|charlei
charlene|charley
charles|carl
charles|charley
charles|charli
charles|charlie
charles|charly
charles|charlye
charles|chas
charles|chuck
charles|chuckie
charles|chucky
charles|chuk
charles|chuki
charles|chuks
charlotte|carly
charlotte|char
charlotte|charl
charlotte|charle
charlotte|charli
charlotte|charlie
charlotte|charlo
charlotte|charly
charlotte|charo
charlotte|charr
charlotte|charra
charlotte|charri
charlotte|charrie
charlotte|lotta
charlotte|lotte
charlotte|lotti
charlotte|lottie
charlotte|lotty
charlotte|tottie
chasity|chassie
cherilyn|cher
cheryl|char
cheryl|chere
cheryl|cheree
cheryl|cheri
cheryl|cherie
cheryl|cherre
cheryl|cherri
cheryl|cherrie
cheryl|cherry
cheryl|cherrye
cheryl|chery
cheryl|shar
cheryl|sheri
cheryl|sherrie
cheryl|sherry
chester|ches
chester|chet
cheyenne|chey
cheyenne|chi
cheyenne|chie
chiquita|chickie
chiquita|chicky
chloe|clo
chrintina|crissy
chrintine|crissy
christa|chris
christian|chris
christian|cris
christian|crist
christina|chris
christina|chrissie
christina|christee
christina|christey
christina|christi
christina|christie
christina|cristie
christina|cristy
christina|kristi
christina|kristie
christina|kristy
christina|tina
christine|chris
christine|chrissy
christine|christee
christine|christey
christine|christi
christine|christie
christine|christy
christine|chrisy
christine|chrys
christine|chrysti
christine|chrystie
christine|cris
christine|crisey
christine|criss
christine|crissie
christine|crissy
christine|cristi
christine|cristie
christine|cristy
christopher|chris
christopher|chriss
christopher|christos
christopher|kester
christopher|kit
christopher|kriss
christopher|kristof
christopher|kristofer
christopher|kristopher
christopher|risto
christopher|tobal
christopher|toph
christopher|topher
cinderlla|cindy
clara|clar
clarence|clare
clarence|lar
clarence|larry
clarence|skip
clarence|skippy
clarissa|clara
claudia|claud
claudia|claudi
claudia|claudie
clement|clem
clement|menz
cleopatra|cleo
cletus|clete
cleveland|cleave
cleveland|clevey
cleveland|clevie
cleveland|clevon
cleveland|leland
clifford|clif
clifford|cliff
clifford|cliffe
clifford|cliffer
clifford|cliffie
clifford|clift
clifton|cliff
clifton|clift
clinton|clint
clyde|cly
coca|cocca
coco|cocco
colby|cobi
colette|coe
colin|cole
colleen|callie
colleen|colee
colleen|coli
colleen|collee
colleen|collie
colleen|collye
conchita|chita
conchita|concha
connie|con
conrad|connie
conrad|cort
constance|coni
constance|conie
constance|conne
constance|connee
constance|conni
constance|connie
constance|connielee
constance|conny
constance|constanc
constance|cony
constance|conzy
constancia|connie
constantine|connie
constantine|constant
constantine|costa
corbett|corby
cordell|cord
cordell|cordie
cornelia|cornie
cornelia|corny
cornelius|conny
cornelius|corney
cornelius|cornie
cornelius|neil
cornelius|nelius
cornelius|nellie
cosmo|cos
courtney|cori
coy|coye
crystal|chris
crystal|cris
crystal|crys
crystal|crysta
crystal|crysti
crystal|krista
crystal|krysta
curtis|curt
curtis|curte
curtis|kurt
cynthia|cind
cynthia|cinde
cynthia|cindee
cynthia|cindey
cynthia|cindi
cynthia|cindie
cynthia|cindy
cynthia|cyn
cynthia|cynde
cynthia|cyndee
cynthia|cyndey
cynthia|cyndi
cynthia|cyndie
cynthia|cyndy
cynthia|cynthy
cyrus|cy
dakota|dac
dakota|dack
dakota|dak
dallas|dal
dallas|dall
dalton|dal
dalton|dalt
damica|damie
damita|damee
dana|dane
danielle|dannie
danielle|danny
daniel|dan
daniel|dani
daniel|danie
daniel|danne
daniel|danney
daniel|danni
daniel|dannie
daniel|dannny
daniel|danny
daniel|dannye
daniel|dany
daniel|danye
daniel|danyi
daniel|nilo
dante|dant
darby|darb
darcy|dar
daria|dari
darius|dare
darlene|dar
darlene|dara
darlene|darla
darlene|darlie
darlene|darly
darlene|darra
darlene|lena
darren|dare
david|dave
david|davey
david|davi
david|davie
david|davy
dawn|dawnie
dawn|dawny
day|daye
deangelo|dang
deanna|de
deanna|dea
deanne|dea
dean|deano
dean|dino
dean|dinos
deborah|deb
deborah|debb
deborah|debbe
deborah|debbi
deborah|debbie
deborah|debby
deborah|debbye
deborah|debe
deborah|debi
deborah|debie
deborah|debo
deborah|debs
deborah|deby
debra|deb
debra|deba
debra|debah
debra|debbie
debra|debr
deirdre|dee
deirdre|didi
delaney|del
delaney|dell
delbert|bert
delbert|del
delbert|dell
della|del
della|dell
delores|dee
delores|del
delores|della
delores|delsie
deloy|deloye
delphine|delpha
delphine|delphe
delphine|delphi
denise|dene
denise|denee
denise|deney
denise|deni
denise|denie
denise|denni
denise|dennie
denise|denny
denise|dinnie
denise|dinny
denise|nisse
denise|nissey
dennison|dennis
dennis|den
dennis|denn
dennis|denne
dennis|denney
dennis|denni
dennis|dennie
dennis|denny
dennis|deno
derek|dere
derek|deree
derek|derk
derek|derr
derek|derrie
derek|derry
derek|eric
derek|rick
derek|ricky
derick|rick
derick|ricky
desiree|desi
desiree|dessa
desiree|dessie
desmond|des
desmond|desi
destiny|desta
destiny|destin
destiny|desty
devin|dev
devin|devy
dexter|decca
dexter|deck
dexter|decka
dexter|dekka
dexter|dex
diana|ana
diana|di
diana|dy
diane|ann
diane|di
diane|dy
dillon|dil
dillon|dill
dillon|dillie
dillon|dilly
dionne|dion
dixie|dix
dolly|dol
dolly|doll
dolores|dee
dolores|do
domenic|dom
dominico|dom
dominic|deco
dominic|dom
dominic|dominy
dominic|nick
donalda|doni
donald|don
donald|donee
donald|doney
donald|doni
donald|donie
donald|donn
donald|donnay
donald|donne
donald|donnee
donald|donney
donald|donni
donald|donnie
donald|donny
donald|donnye
donato|don
dora|dor
doreen|dora
doreen|dorie
doria|dori
doris|dor
doris|dora
doris|dorri
doris|dorrie
doris|dorry
doris|dorsie
doris|dot
doris|dottie
doris|dotty
dorothy|do
dorothy|doa
dorothy|doddie
dorothy|dodi
dorothy|dodie
dorothy|doe
dorothy|dollie
dorothy|dolly
dorothy|dora
dorothy|dori
dorothy|dosi
dorothy|dosy
dorothy|dot
dorothy|dott
dorothy|dotta
dorothy|dotte
dorothy|dotti
dorothy|dottie
dorothy|dotty
dorothy|dottye
dorothy|doty
dottie|dot
douglas|dou
douglas|doug
douglas|douge
drey|drye
drusilla|drusi
dry|drye
dudley|dudd
dulcinea|dulcie
dustine|dustee
dustine|dusti
dustine|dustie
dustine|dusty
dustin|dust
dustin|dustie
dustin|dusty
dy|dye
edgar|ed
edgar|eddie
edgar|eddy
edith|eddy
edith|ede
edith|edee
edith|edi
edith|edie
edith|edy
edith|edye
edith|ettie
edmond|ed
edmond|eddie
edmond|eddy
edmund|ed
edmund|eddie
edmund|eddy
edna|ettie
eduardo|ed
eduardo|eddie
eduardo|eddy
edward|ed
edward|edd
edward|edde
edward|eddey
edward|eddi
edward|eddie
edward|eddy
edward|eddye
edward|eddys
edward|edie
edward|edo
edward|edw
edward|edwa
edward|edy
edward|ned
edward|ted
edward|teddie
edward|teddy
edward|tedy
edward|theo
edward|ward
edwina|eddy
edwin|ed
edwin|eddie
edwin|eddy
edwin|edwi
edwin|ted
edwin|teddy
edythe|eddie
edythe|edie
edythe|edye
edythe|ettie
edyth|edie
edyth|edye
eileen|ailey
eileen|aili
eileen|ailie
eileen|aily
eileen|allee
eileen|ei
eileen|eil
eileen|eila
eileen|eilee
eileen|eily
eileen|ilea
eileen|ilee
elaine|el
elaine|elain
elaine|ell
elaine|ellie
elaine|elly
elaine|lainey
elaine|lainie
elaine|laney
elaine|lani
elaine|lanie
elbert|bert
elbert|elbie
eldora|dora
eldridge|el
eleanor|elaine
eleanor|ele
eleanor|elea
eleanor|ellen
eleanor|ellie
eleanor|elly
eleanor|nora
elfrida|elfie
elias|lee
elinor|ellie
elinor|elly
elisa|lisa
elise|liese
elise|lissie
elisha|lisha
elita|litia
elizabeth|besie
elizabeth|bess
elizabeth|besse
elizabeth|bessi
elizabeth|bessie
elizabeth|besssie
elizabeth|bessy
elizabeth|bessye
elizabeth|besy
elizabeth|bet
elizabeth|beta
elizabeth|beth
elizabeth|bethe
elizabeth|bethsy
elizabeth|bethy
elizabeth|beti
elizabeth|betsey
elizabeth|betsi
elizabeth|betsie
elizabeth|betsy
elizabeth|betsye
elizabeth|bett
elizabeth|bette
elizabeth|bettee
elizabeth|bettey
elizabeth|betti
elizabeth|bettie
elizabeth|bettsy
elizabeth|betty
elizabeth|bettye
elizabeth|bety
elizabeth|betzi
elizabeth|betzy
elizabeth|eliza
elizabeth|elle
elizabeth|libbie
elizabeth|libby
elizabeth|lisa
elizabeth|liz
elizabeth|liza
elizabeth|lizzie
eliza|elzie
ellen|el
ellen|ella
ellen|elle
ellen|elley
ellen|elli
ellen|ellie
ellen|elly
ellis|eli
elmer|elmo
elsa|ellie
elsa|elsie
elsa|elzie
elvin|el
elwood|woody
emanuel|eman
emanuel|emek
emanuel|maco
emanuel|mango
emanuel|mannie
emanuel|manny
emeline|emily
emeline|emma
emily|emi
emily|emie
emily|emma
emily|emme
emily|emmi
emily|emmie
emily|emmy
emily|emy
emma|ema
emma|emm
emma|emmi
emma|emmie
emma|emmy
emmett|em
emmett|emmy
eric|ric
eric|ricc
eric|riccie
eric|riccy
eric|rici
eric|ricie
eric|rick
eric|ricy
erin|errie
ernestine|erna
ernestine|ernie
ernest|earn
ernest|earnie
ernest|erne
ernest|erney
ernest|erni
ernest|ernie
ernest|ernny
ernest|erno
ernest|erns
ernest|ernso
ernest|erny
ervine|erv
erwin|erv
esmeralda|esme
estella|stella
estelle|essie
estelle|estee
ester|esther
esther|es
esther|essie
esther|esth
esther|estha
esther|esthe
esther|esti
esther|estie
esther|esty
esther|etta
esther|ettie
esther|etty
esther|hettie
esther|hetty
ethan|ethe
ethel|eth
ethel|etha
ethel|ethe
ethel|ethie
eugene|ege
eugene|eug
eugene|euge
eugene|eui
eugene|gene
eunice|euna
eunice|eunie
evangelina|eva
evan|ev
evelyn|avi
evelyn|avia
evelyn|avie
evelyn|ev
evelyn|eva
evelyn|eve
evelyn|evea
evelyn|evee
evelyn|evi
evelyn|evie
evelyn|evvie
evelyn|evy
everett|ev
ezekiel|ezeck
ezekiel|zech
ezekiel|zeke
fabian|fabe
fabian|fabi
faith|fay
fanny|fan
farley|far
fay|faye
felix|fee
ferdinand|ferd
ferdinand|ferda
ferdinand|ferdie
ferdinand|ferdy
ferdinand|fred
ferdinand|freddie
ferdinand|freddy
ferdinand|nando
fernanda|andee
fernanda|ferdie
fernanda|fern
fernanda|nanda
fifer|pfifer
fitzgerald|fitch
fitzgerald|fits
fitzgerald|fitz
fitzgerald|gerald
flannery|flan
florence|flo
florence|floe
florence|floie
florence|flor
florence|flora
florence|floree
florence|florie
florence|florrie
florence|flossie
flossie|floss
foy|foye
frances|fanny
frances|fran
frances|france
frances|franci
frances|francia
frances|francie
frances|francy
frances|francye
frances|frani
frances|frankie
frances|frann
frances|franne
frances|franni
frances|frannie
frances|franny
frances|frany
francheska|cheka
francine|fannie
francine|fran
francine|francie
francine|frannie
francine|franny
francis|fannie
francis|fanny
francis|fran
francis|france
francis|francie
francis|francy
francis|frang
francis|frank
francis|frankie
francis|frannie
francis|franny
franklin|fran
franklin|frank
franklin|frankie
frank|francky
frank|franke
frank|frankee
frank|frankey
frank|franki
frank|frankie
frank|franky
frank|frankye
frederica|freda
frederica|freida
frederica|fritzi
frederica|rike
fredericka|ferda
fredericka|freda
fredericka|ricka
frederick|ferd
frederick|fready
frederick|fred
frederick|freddi
frederick|freddie
frederick|freddy
frederick|frede
frederick|fredi
frederick|fredie
frederick|fredy
frederick|freidy
frederick|fritz
frederick|rick
frederick|ricky
frederika|fredie
fredrick|fred
fredrick|freddy
fred|frady
fred|freadie
fred|frede
fred|fredi
fred|fredie
fred|fredy
fred|freidy
frieda|fred
frieda|freddie
frieda|freddy
frommer|pfrommer
fry|frye
gabriela|gab
gabriella|ella
gabriella|gab
gabriella|gabbie
gabriella|gabby
gabriella|gabrielle
gabriella|gaby
gabrielle|gabby
gabrielle|gaby
gabriel|gab
gabriel|gabby
gabriel|gabe
gabriel|gabys
gabriel|riel
garrett|gar
garvey|garv
garvin|gar
gary|gar
gavin|gav
gay|gaye
gemma|gem
gena|gen
geneen|gen
geneva|geena
geneva|gen
geneva|gena
genevieve|eve
genevieve|gen
genevieve|gena
genevieve|genie
genevieve|gennie
genevieve|genny
genevieve|jean
genevieve|jenny
genna|gen
geoffrey|geoff
geoffrey|jeff
george|geo
george|geogey
george|georgie
george|georgy
georgia|georgi
georgia|georgie
georgine|george
geovanni|geovan
geraldine|gere
geraldine|geree
geraldine|geri
geraldine|gerri
geraldine|gerrie
geraldine|gerry
geraldine|gery
geraldine|jeree
geraldine|jerri
geraldine|jerry
gerald|garrie
gerald|garry
gerald|gary
gerald|ger
gerald|gerry
gerald|jer
gerald|jere
gerald|jerry
gerard|gerd
gerard|gerry
gertrude|gerda
gertrude|gert
gertrude|gerta
gertrude|gertey
gertrude|gerthie
gertrude|gerthy
gertrude|gerti
gertrude|gertie
gertrude|gerty
gertrude|girtie
gertrude|trudi
gertrude|trudie
gertrude|trudy
gilberte|gigi
gilberte|gill
gilbert|bert
gilbert|gib
gilbert|gil
gilbert|gill
gilbert|wilber
gilda|gildi
gilda|gildie
gilda|gildy
gillian|gili
gillian|gill
gillian|gillie
gillian|lian
gina|gin
gina|gini
ginger|gin
ginger|gini
ginny|gin
giovanni|gian
giovanni|gianni
gladys|glad
gladys|gladie
gladys|glady
glenna|glenn
glenn|glen
glenn|glennie
glenn|lennie
glenn|lenny
gloria|glo
gloria|glor
gloria|glori
gloria|glorie
golda|goldi
golda|goldy
gordon|gord
gordon|gordie
gordon|gordo
gordon|gordy
grace|gracee
grace|gracey
grace|graci
grace|gracie
grace|gracy
grace|gracye
gregory|gre
gregory|greg
gregory|gregg
gregory|greig
gregory|grieg
grey|greye
griffin|griff
griffin|griffie
griffin|griffy
griffith|griff
griffith|griffie
guinevere|genn
guinevere|guinna
guinevere|gwen
gunther|gun
gussie|gus
gustav|gus
gustav|guss
gustav|gussie
gustav|gusty
gustav|tabo
gustav|tavo
guy|guye
gwendolyn|gwen
gwendolyn|gwenda
gwendolyn|wendy
gwyneth|gwyn
hadley|had
hadley|lee
hadley|leigh
hamlin|lin
hannah|ann
hannah|anna
hannah|hanna
hannah|hanne
hannah|hanney
hannah|hannh
hannah|hanni
hannah|hannie
hannah|hanny
harold|hal
harold|harr
harold|harri
harold|harrie
harold|harry
harold|herr
harriet|harri
harriet|harrie
harriet|hattie
harriet|hattye
harrison|harris
harrison|harry
harrison|henry
harvey|harv
hay|haye
hector|hec
hee|heye
helen|hel
helen|heli
helen|helia
helen|heliana
helen|hella
helen|helle
henrietta|etta
henrietta|hattie
henrietta|hatty
henrietta|henia
henrietta|henka
henrietta|henna
henrietta|henny
henrietta|henya
henrietta|hetta
henrietta|hetti
henrietta|hettie
henrietta|hetty
henry|hal
henry|hank
henry|harry
herbert|bert
herbert|berty
herbert|heber
herbert|herb
herbert|herbe
herbert|herber
herbert|herbey
herbert|herbi
herbert|herbie
herbert|herby
herbert|huey
herbert|hughey
herbert|hughie
herbert|hughy
herman|herm
herman|hermie
hester|hetty
hey|heye
hilda|hild
hilda|hilde
hilda|hildi
hilda|hildie
hilda|hildy
hildegarde|hilda
hipsbibah|hipsie
honora|honey
honora|honner
honora|honnor
howard|how
howard|howe
howard|howie
hoy|hoye
hubert|bert
hubert|hubie
hubert|hugh
hugh|huey
humphrey|hum
humphrey|hump
hunter|hunt
huntley|hunt
hyman|hy
hy|hye
ignatius|iggy
iliana|ili
iliana|ilia
imelda|melda
irene|ire
irene|iree
irene|iri
irene|rena
irene|rene
irene|rennie
irina|irin
irina|rina
irving|ervy
irving|irv
isaac|ike
isaac|ikey
isaac|ikie
isaac|izzy
isabella|bella
isabella|isa
isabella|issi
isabella|issie
isabella|issy
isabella|iza
isabelle|belle
isabelle|issy
isabel|belle
isabel|isa
isabel|issy
isadora|dora
isadora|issy
isadore|izzy
isaiah|isa
israel|izzy
ivette|ivey
jack|jackie
jacobi|coby
jacob|jac
jacob|jackie
jacob|jaco
jacob|jae
jacob|jake
jacob|jakee
jacob|jakey
jacob|jakie
jacob|jay
jacob|jeks
jacob|jim
jacqueline|jacci
jacqueline|jaccie
jacqueline|jaci
jacqueline|jacke
jacqueline|jackee
jacqueline|jackey
jacqueline|jacki
jacqueline|jackie
jacqueline|jackki
jacqueline|jacky
jacqueline|jackye
jacqueline|jacqu
jacqueline|jacque
jacqueline|jacquee
jacqueline|jacqui
jacqueline|jacquie
jacqueline|jaqui
jacqueline|jaquie
jacquelyn|jackie
jacquelyn|jacky
jamal|jam
james|jamey
james|jami
james|jamie
james|jammie
james|jammy
james|jamy
james|jamye
james|jas
james|jim
james|jimbo
james|jime
james|jimi
james|jimie
james|jimm
james|jimme
james|jimmee
james|jimmey
james|jimmi
james|jimmie
james|jimmmie
james|jimmmy
james|jimmy
james|jimmye
james|jimy
james|jimye
janet|jan
janet|jann
janet|janna
janet|janney
janet|janni
janet|jannie
janet|janny
jane|jainy
jane|janee
jane|janey
jane|janie
jane|jayni
jane|jaynie
janice|jan
janice|janie
janice|jannie
janice|janye
jarita|jara
jarita|jari
jasmine|jasme
jasmine|jasmea
jasmine|jasmi
jasmine|jasmie
jasmine|jassy
jasmine|jazmi
jasmine|jazzmie
jasmine|jazzy
jason|jass
jason|jay
jaspreet|jas
jay|jaye
jeanette|gene
jeanette|genie
jeanette|jean
jeanette|jeane
jeanette|jeanne
