occupation
able seaman
armored-car guard and driver
armorer technician
armoring-machine operator
arranger
arrowsmith
art conservator
art director
art therapist
artificial inseminator
artificial-breeding technician
artificial-candy maker
artificial-flower maker
artificial-foliage arranger
artificial-glass-eye maker
artificial-log-machine operator
artificial-pearl maker
artificial-plastic-eye maker
artillery or naval gunfire observer
artillery-maintenance supervisor
artist and repertoire manager
artist, mannequin coloring
artist, suspect
asbestos removal worker
asbestos-shingle inspector
asbestos-shingle shearing-machine operator
asbestos-wire finisher
asphalt-distributor tender
asphalt-heater tender
asphalt-paving-machine operator
assayer
assembler
assembler and tester, electronics
assembler and wirer, industrial equipment
assembler for puller-over, hand
assembler for puller-over, machine
assembler helper, internal combustion engine
assembler i
assembler ii
assembler, aircraft power plant
assembler, aircraft, structures and surfaces
assembler, aluminum boats
assembler, bicycle i
assembler, bicycle ii
assembler, billiard-table
assembler, camper
assembler, carbon brushes
assembler, clip-on sunglasses
assembler, component
assembler, corncob pipes
assembler, deck and hull
assembler, dry cell and battery
assembler, electrical accessories i
assembler, electrical accessories ii
assembler, electromechanical
assembler, faucets
assembler, filters
assembler, finger buffs
assembler, fishing floats
assembler, garment form
assembler, gold frame
assembler, ground support equipment
assembler, igniter
assembler, insulation and flooring
assembler, internal combustion engine
assembler, lay-ups
assembler, leather goods i
assembler, leather goods ii
assembler, liquid center
assembler, marking devices
assembler, mechanical ordnance
assembler, mechanical pencils and ballpoint pens
assembler, metal bonding
assembler, metal building
assembler, metal furniture
assembler, mining machinery
assembler, molded frames
assembler, motor vehicle
assembler, movement
assembler, musical instruments
assembler, photographic equipment
assembler, piano
assembler, ping-pong table
assembler, plastic hospital products
assembler, printed products
assembler, product
assembler, production
assembler, production line
assembler, sandal parts
assembler, semiconductor
assembler, skylights
assembler, small products i
assembler, small products ii
assembler, steam-and-gas turbine
assembler, subassembly
assembler, surgical garment
assembler, tubing
assembler, type-bar-and-segment
assembler, unit
assembler, watch train
assembler, wet wash
assembler, wire-mesh gate
assembler-and-gluer, laminated plastics
assembler-arranger
assembler-installer, general
assembly adjuster
assembly cleaner
assembly inspector
assembly loader
assembly operator
assembly repairer
assembly supervisor
assembly technician
assembly-inspector helper
assembly-line inspector
assembly-machine operator
assembly-machine tender
assembly-machine-set-up mechanic
assembly-press operator
assignment clerk
assignment editor
assistant construction superintendent
assistant designer
assistant press operator, offset
assistant principal
assistant-press operator
assorter
astrologer
astronomer
athletic trainer
atomic-fuel assembler
atomizer assembler
attendance clerk
attendance officer
attendant, arcade
attendant, campground
attendant, children's institution
attendant, lodging facilities
auction assistant
auction clerk
auctioneer
audio-video repairer
audiologist
audiometrist
audiovisual librarian
audiovisual production specialist
audiovisual technician
audit clerk
audit-machine operator
auditor
auditor, county or city
auditor, data processing
auditor, internal
auditor, tax
auger press operator, manual control
auto roller
auto-body repairer, fiberglass
auto-design checker
auto-design detailer
autoclave operator
autoclave operator i
autoclave operator ii
automat-car attendant
automated cutting machine operator
automated equipment engineer-technician
automatic bandsaw tender
automatic casting-forging machine operator
automatic lump making machine tender
automatic pattern edger
automatic stacker
automatic-door mechanic
automatic-equipment technician
automatic-machine attendant
automatic-nailing-machine feeder
automatic-pad-making-machine operator
automatic-pad-making-machine operator helper
automatic-wheel-line operator
automatic-window-seat-and-top-lift repairer
automobile detailer
automobile locator
automobile mechanic
automobile racer
automobile rental clerk
automobile tester
automobile upholsterer
automobile wrecker
automobile-accessories installer
automobile-body customizer
automobile-body repairer
automobile-body-repairer helper
automobile-bumper straightener
automobile-club-safety-program coordinator
automobile-mechanic apprentice
automobile-mechanic helper
automobile-radiator mechanic
automobile-repair-service estimator
automobile-seat-cover installer
automobile-seat-cover-and-convertible-top installer
automobile-self-serve-service-station attendant
automobile-service-station attendant
automobile-service-station mechanic
automobile-upholsterer apprentice
automotive engineer
automotive technician, exhaust emissions
automotive-cooling-system diagnostic technician
automotive-generator-and-starter repairer
automotive-maintenance-equipment servicer
automotive-tire tester
automotive-tire-testing supervisor
auxiliary-equipment operator
auxiliary-equipment tender
aviation support equipment repairer
avionics technician
awning hanger
awning maker-and-installer
awning-frame maker
awning-hanger helper
babbitter
baby-stroller and wheelchair rental clerk
back feeder, plywood layup line
back maker, lockstitch
back padder
back tender
back tender, cloth printing
back tender, insulation board
back tender, paper machine
back tufter
back washer
back-shoe worker
back-strip-machine operator
backing-in-machine tender
bag cutter
bag liner
bag loader
bag printer
bag repairer
bag sewer
bag-machine operator
bag-machine-operator helper
baggage checker
baggage handler
baggage porter, head
baggage-and-mail agent
bagger
bagging salvager
bailiff
baker
baker apprentice
baker helper
baker, head
baker, pizza
baker, second
baker, test
bakery supervisor
bakery worker, conveyor line
bakery-machine mechanic
bakery-machine-mechanic supervisor
balance assembler
balance recesser
balance truer
balance-bridge assembler
balancer, scale
balancing-machine operator
balancing-machine set-up worker
balcony worker
bale sewer
bale-tie-machine operator
baler
baling-machine tender
ball assembler
ball sorter
ball-fringe-machine operator
ball-machine operator
ball-mill operator
ball-truing-machine operator
ball-warper tender
balling-machine operator
balloon dipper
balloon maker
ballpoint pen cartridge tester
ballpoint-pen-assembly-machine operator
band attacher
band builder
band cutter
band maker
band salvager
band tumbler
band-and-cuff cutter
band-machine operator
band-reamer-machine operator
band-saw operator
band-sawing-machine operator
band-scroll-saw operator
band-top maker
bander
bander, hand
bander-and-cellophaner helper, machine
bander-and-cellophaner, machine
banding-machine operator
bandoleer packer
bandoleer straightener-stamper
bank boss
bank-note designer
banking pin adjuster
bar and filler assembler
bar attendant
bar examiner
barbed-wire-machine operator
barber
barber apprentice
barge captain
bark-press operator
barker
barker operator
barley steeper
barn boss
barrel assembler
barrel brander
barrel charrer
barrel drainer
barrel filler
barrel filler i
barrel filler ii
barrel finisher
barrel inspector, tight
barrel liner
barrel loader and cleaner
barrel marker
barrel polisher, inside
barrel raiser
barrel repairer
barrel rifler
barrel straightener i
barrel-assembler helper
barrel-bridge assembler
barrel-cap setter
barrel-charrer helper
barrel-dedenting-machine operator
barrel-endshake adjuster
barrel-lathe operator, inside
barrel-lathe operator, outside
barrel-raiser helper
barrel-rib matting-machine operator
bartender
bartender helper
base filler
base remover
base-draw operator
base-filler operator
base-ply hand
baseball inspector and repairer
baseball sewer, hand
basin operator
basket assembler i
basket assembler ii
basket filler
basket grader
basket mender
basket patcher
basting puller
basting-machine operator
batch freezer
batch maker
batch mixer
batch trucker
batch-and-furnace operator
batch-records clerk
batch-still operator i
batch-tank controller
bath-mix operator
battalion chief
batter mixer
batter scaler
batter-out
battery assembler
battery assembler, dry cell
battery assembler, plastic
battery charger
battery charger, conveyor line
battery inspector
battery loader
battery maintainer, large emergency storage
battery recharger
battery repairer
battery stacker
battery tester
battery-charger tester
battery-container-finishing hand
battery-parts assembler
battery-wrecker operator
batting-machine operator
batting-machine operator, insulation
bb shot packer
beach lifeguard
bead builder
bead inspector
bead maker
bead picker
bead preparer
bead stringer
bead-forming-machine operator
bead-machine operator
beader
beading sawyer
beadworker
beam racker
beam-dyer operator
beam-warper tender, automatic
beamer
beamer helper
beaming inspector
bearing-ring assembler
beater engineer
beater operator
beater-and-pulper feeder
beater-engineer helper
bed laster
bed operator
bed rubber
bed setter
bedder
bee worker
beekeeper
bell captain
bell maker
bell spinner
bell-neck hammerer
bellhop
bellows assembler
bellows filler
bellows maker
bellows tester
belly builder
belt builder
belt maker
belt picker
belt repairer
belt sander, stone
belt-builder helper
belt-maker helper
belt-press operator i
belt-press operator ii
belting-and-webbing inspector
ben-day artist
bench assembler
bench carpenter
bench grinder
bench hand
bench worker
bench worker, binding
bench worker, hollow handle
bench-molder apprentice
bench-shear operator
bender, hand
bender, machine
bending-machine operator i
bending-machine operator ii
benefits clerk ii
benzene-washer operator
bevel polisher
beveler
beveler, printed circuit boards
beveling-and-edging-machine operator
beveling-and-edging-machine-operator helper
beveling-machine operator
bias-cutting-machine operator
bias-machine operator
bias-machine-operator helper
bibliographer
bicycle repairer
bicycle-rental clerk
billet assembler
billing clerk
billing typist
billing-control clerk
billing-machine operator
billposter
bin cleaner
bin filler
bin tripper operator
binder
binder and box builder
binder cutter, hand
binder layer
binder selector
binder technician
binder, chainstitch
binder, coverstitch
binder, lockstitch
binder-and-wrapper packer
bindery worker
bindery-machine feeder-offbearer
bindery-machine setter
binding cutter, synthetic cloth
binding folder, machine
binding printer
biochemist
biochemistry technologist
biographer
biological aide
biological photographer
biologist
biology specimen technician
biomedical engineer
biomedical equipment technician
biophysicist
bird-cage assembler
birth attendant
bisque cleaner
bisque grader
bit bender
bit sharpener
bit shaver
bit-sharpener operator
bite-block maker
black oxide coating equipment tender
black-ash-burner operator
black-mill operator
blacksmith
blacksmith apprentice
blacksmith helper
blade balancer
blade groover
blanching-machine operator
blanket washer
blanket-cutting-machine operator
blanket-winder helper
blanket-winder operator
blankmaker
blast-furnace keeper
blast-furnace-keeper helper
blaster
blaster helper
blasting-cap assembler
bleach packer
bleach-boiler filler
bleach-liquor maker
bleach-range operator
bleacher operator
bleacher, lard
bleacher, pulp
blemish remover
blender
blender helper
blender i
blender ii
blender laborer
blender, snuff
blender-conveyor operator
blender-machine operator
blending supervisor
blending-line attendant
blending-machine operator
blending-plant operator
blending-tank tender
blending-tank tender helper
blind aide
blind-slat-stapling-machine operator
blindstitch-machine operator
blintze roller
block feeder
block inspector
block maker
block-breaker operator
block-making-machine operator
block-press operator
block-splitter operator
blocker
blocker and cutter, contact lens
blocker and polisher, gold wheel
blocker i
blocker ii
blocker, automatic
blocker, hand
blocker, hand i
blocker, hand ii
blocker, metal base
blocking-machine tender
blood tester, fowl
blood-donor recruiter
blood-donor-unit assistant
blow-molding-machine operator
blow-molding-machine tender
blow-off worker
blow-pit helper
blow-pit operator
blow-up operator
blower and compressor assembler
blower feeder, dyed raw stock
blower insulator
blueprint trimmer
blueprinting-machine operator
board attendant
board-liner operator
board-machine set-up operator
boarding-machine operator
boat buffer, plastic
boat loader i
boat loader ii
boat outfitter
boat patcher, plastic
boat repairer
boat rigger
boat-canvas maker-installer
boat-hoist operator
boat-hoist-operator helper
boat-loader helper
boat-oar maker
boat-rental clerk
boatbuilder apprentice, wood
boatbuilder, wood
boatswain
boatswain, otter trawler
bobbin cleaner, hand
bobbin disker
bobbin inspector
bobbin presser
bobbin sorter
bobbin stripper
bobbin winder, machine
bobbin winder, sewing machine
bobbin-cleaning-machine operator
bobbin-winder tender
body wirer
body-make-up artist
body-maker-machine setter
bodyguard
boil-off-machine operator, cloth
boiler
boiler house inspector
boiler operator
boiler reliner, plastic block
boiler-operator helper
boiler-out
boiler-room helper
boilerhouse mechanic
boilermaker apprentice
boilermaker fitter
boilermaker helper i
boilermaker helper ii
boilermaker i
boilermaker ii
boiling-tub operator
bolt loader
bolter
bolter helper
bomb loader
bondactor-machine operator
bonded structures repairer
bonder, automobile brakes
bonder, semiconductor
bonding-machine setter
bonding-machine tender
bone crusher
bone picker
bone-char kiln operator
bone-char kiln tender
bone-char operator
bone-cooking operator
bone-drier operator
bone-process operator
boner
boner, meat
bonsai culturist
book repairer
book trimmer
book-jacket-cover-machine operator
book-sewing-machine operator i
book-sewing-machine operator ii
bookbinder
bookbinder apprentice
booker
booking clerk
booking prizer
booking supervisor
bookkeeper
bookmobile driver
bookmobile librarian
boom-conveyor operator
booster assembler
bootmaker, hand
border guard
border measurer and cutter
boring-and-filling-machine operator
boring-machine operator
boring-machine operator, production
boring-machine set-up operator, jig
boring-mill set-up operator, horizontal
botanist
bottle gauger
bottle packer
bottle-house quality-control technician
bottled-beverage inspector
bottling-line attendant
bottom bleacher
bottom filler
bottom maker
bottom polisher
bottom presser
bottom wheeler
bottom-hole-pressure-recording-operator helper
bottom-hoop driver
bottom-precipitator operator
bottom-saw operator
bottom-turning-lathe tender
bottomer i
bottoming-machine operator
bouffant-curtain-machine tender
bouncer
bow maker
bow maker, custom
bow maker, production
bow rehairer
bow-maker-machine tender, automatic
bow-string maker
bowl turner
bowling-ball engraver
bowling-ball finisher
bowling-ball grader and marker
bowling-ball molder
bowling-ball weigher and packer
bowling-ball-mold assembler
box bender
box inspector
box maker
box maker, paperboard
box maker, wood
box printer
box repairer ii
box tender
box-blank-machine operator
box-blank-machine-operator helper
box-folding-machine operator
box-lining-machine feeder
box-sealing inspector
box-sealing-machine operator
box-spring maker i
box-spring maker ii
box-truck washer
boxing inspector
boxing-and-pressing supervisor
bracelet and brooch maker
braid-pattern setter
braider operator
braider setter
braiding-machine operator
braiding-machine tender
braille operator
braille proofreader
braille transcriber, hand
braille typist
braille-and-talking books clerk
braille-duplicating-machine operator
brake adjuster
brake coupler, road freight
brake holder
brake operator i
brake operator ii
brake repairer
brake repairer, railroad
brake-drum-lathe operator
brake-lining curer
brake-lining finisher, asbestos
brake-lining-finisher helper, asbestos
braker, passenger train
bran mixer
brand recorder
branding-machine tender
branner-machine tender
brass-wind-instrument maker
brassiere-slide-making-machine tender, automatic
brazer, assembler
brazer, controlled atmospheric furnace
brazer, furnace
brazer, induction
brazer, resistance
brazing-machine operator
brazing-machine setter
breading machine tender
break-and-load operator
break-off worker
breaker
breaker tender
breaker-machine operator
breaker-machine tender
breaker-up-machine operator
breaking-machine operator
brewery cellar worker
briar cutter
briar-wood sorter
brick setter operator
brick tester
brick unloader tender
brick-and-tile-making-machine operator
bricklayer
bricklayer apprentice
bricklayer helper, firebrick and refractory tile
bricklayer supervisor
bricklayer, firebrick and refractory tile
bridge inspector
bridge operator, slip
bright cutter
brilliandeer-lopper
brim curler
brim ironer, hand
brim presser i
brim raiser
brim stitcher i
brim-and-crown presser
brim-pouncing-machine operator
brim-stretching-machine operator
brimer
brine maker i
brine maker ii
brine-mixer operator, automatic
brine-tank tender
brine-tank-separator operator
brine-well operator
briner
briquette operator
briquette-machine operator
briquette-machine-operator helper
briquetter operator
briquetting-machine operator
broaching-machine operator, production
broaching-machine set-up operator
broadcast checker
broker-and-market operator, grain
brokerage clerk i
brokerage clerk ii
broom bundler
broom stitcher
broomcorn grader
broomcorn seeder
broommaker
broth mixer
brown-stock washer
browning processor
brush filler, hand
brush loader and handle attacher
brush maker, machine
brush material preparer
brush operator
brush polisher
brush-fabrication supervisor
brush-head maker
brush-machine setter
brusher
brusher, machine
bucker
bucket chucker
bucket operator
bucket turner
buckle inspector
buckle sorter
buckle-frame shaper
buckle-strap-drum operator
buckle-wire inserter
buckler and lacer
buckshot-swage operator
budder
budget analyst
budget clerk
budget officer
buffer
buffer i
buffer, automatic
buffer, inflated-pad
buffer, machine
buffing turner-and-counter
buffing-and-polishing-wheel repairer
buffing-and-sueding-machine operator
buffing-line set-up worker
buffing-machine operator
buffing-machine operator, silverware
buffing-machine tender
buffing-wheel former, automatic
buffing-wheel former, hand
buffing-wheel inspector
builder, beam
building cleaner
building consultant
building inspector
building-equipment inspector
building-insulation supervisor
bulb filler
bulk filler
bulk-plant operator
bulk-sealer operator
bulk-station operator
bulker
bulker, cut tobacco
bull-chain operator
bull-gang worker
bulldozer operator i
bullet-assembly-press operator
bullet-assembly-press setter-operator
bullet-casting operator
bullet-grooving-sizing-and-lubricating-machine operator
bullet-lubricant mixer
bullet-lubricating-machine operator
bullet-slug-casting-machine operator
bunch maker, hand
bunch maker, machine
bunch trimmer, mold
bundle breaker
bundle tier and labeler
bundler, seasonal greenery
bundles hanger
bung driver
bureau chief
burlap spreader
burler
burn-out tender, lace
burner
burner operator
burner tender
burning supervisor
burning-plant operator
burnisher
burnisher, balance wheel arm
burr grinder
burrer
burrer, machine
burring-machine operator
bursar
bus attendant
bus dispatcher, interstate
bus driver
bus driver, day-haul or farm charter
bus inspector
busher
butcher apprentice
butcher, all-round
butcher, chicken and fish
butcher, fish
butcher, meat
butler
butler, second
butt maker
butter liquefier
buttermaker
buttermaker, continuous churn
button grader
button maker and installer
button reclaimer
button spindler
button-and-buckle maker
button-attaching-machine operator
button-cutting-machine operator
button-decorating-machine operator
button-facing-machine operator
button-sewing-machine operator
buttoner
buttonhole maker
buttonhole-and-button-sewing-machine operator
buttonhole-machine operator
buyer
buyer, assistant
buyer, grain
buyer, tobacco, head
buzzsaw operator
buzzsaw-operator helper
c.o.d. clerk
cabana attendant
cabin-equipment supervisor
cabinet assembler
cabinetmaker
cabinetmaker apprentice
cabinetmaker, supervisor
cable assembler and swager
cable engineer, outside plant
cable installer-repairer
cable maintainer
cable puller
cable splicer
cable supervisor
cable television installer
cable television line technician
cable tester
cable-splicer apprentice
cable-splicer helper
caddie
caddie supervisor
cadet, deck
cadmium burner
cadmium-liquor maker
cafeteria attendant
cage maker
cage maker, machine
cager
cager operator
cake decorator
cake former
cake puller
cake stripper
cake tester
cake wrapper
cake-press operator
cake-press-operator helper
calcine furnace loader
calcine-furnace tender
calciner operator
calciner, gypsum
calciner-operator helper
calculating-machine operator
calendar-control clerk, blood bank
calender feeder
calender operator
calender operator, artificial leather
calender operator, four-roll
calender operator, insulation board
calender supervisor
calender-let-off helper
calender-let-off operator
calender-machine operator
calender-operator helper
calender-roll press operator
calender-wind-up helper
calender-wind-up tender
calendering-machine operator
calibration laboratory technician
calibrator
calibrator, barometers
call-out operator
caller
camera operator
camera operator, animation
camera operator, title
camera repairer
camouflage assembler
camouflage specialist
camp tender
can doffer
can filler
can inspector
can patcher
can reconditioner
can-conveyor feeder
can-filling-and-closing-machine tender
canal-equipment mechanic
canary breeder
canceling and cutting control clerk
cancellation clerk
candle cutter
candle molder, hand
candle molder, machine
candle wrapping-machine operator
candle-extrusion-machine operator
candlemaker
candy cutter, hand
candy dipper, hand
candy maker
candy molder, hand
candy puller
candy spreader
candy-maker helper
cane cutter
caner i
caner ii
cannery worker
cannon-pinion adjuster
canoe inspector, final
canopy stringer
canteen operator
cantilever-crane operator
cantor
canvas baster, jumpbasting
canvas repairer
canvas shrinker
canvas worker
canvas-worker apprentice
cap maker
cap-jewel plate assembler
capacitor assembler
capacitor-pack-press operator
caponizer
capping-machine operator
capsule-filling-machine operator
captain, fire-prevention bureau
caption writer
car blocker
car chaser
car checker
car clerk, pullman
car cooper
car distributor
car dropper
car hop
car icer
car inspector
car pincher
car repairer
car repairer, pullman
car scrubber
car trimmer
car-cleaning supervisor
car-dumper operator
car-dumper-operator helper
car-repairer apprentice
car-repairer helper
car-retarder operator
car-wash attendant, automatic
car-wash supervisor
carbide operator
carbide-powder processor
carbon cutter
carbon printer
carbon rod inserter
carbon setter
carbon-and-graphite-brush-machine operator
carbon-coater-machine operator
carbon-furnace operator
carbon-furnace-operator helper
carbon-paper interleafer
carbon-paper-coating-machine setter
carbonation equipment operator
carbonation equipment tender
carbonation tester
carbonizer
carburetor mechanic
carcass splitter
card changer, jacquard loom
card clothier
card cutter, jacquard
card decorator
card grinder
card grinder helper
card lacer, jacquard
card player
card stripper
card tender
cardboard inserter
carder
cardiac monitor technician
carding-machine operator
cardiologist
cardiopulmonary technologist
cardiopulmonary technologist, chief
cardroom attendant i
cardroom attendant ii
career-guidance technician
caretaker
cargo agent
cargo checker
cargo inspector
carnallite-plant operator
carpenter
carpenter apprentice
carpenter i
carpenter ii
carpenter inspector
carpenter, bridge
carpenter, maintenance
carpenter, mold
carpenter, prototype
carpenter, railcar
carpenter, rough
carpenter, ship
carpenter-labor supervisor
carpet cutter
carpet cutter i
carpet cutter ii
carpet inspector, finished
carpet layer
carpet sewer
carpet weaver
carpet weaver, jacquard loom
carpet-layer helper
carpet-loom fixer
carrier packer
carroter
carroting-machine offbearer
carroting-machine operator
carton inspector
carton marker, machine
carton-counter feeder
carton-forming-machine helper
carton-forming-machine operator
carton-forming-machine tender
carton-packaging-machine operator
cartoon designer
cartoonist
cartoonist, motion pictures
cartridge loader
carver
carver, hand
case finisher
case fitter
case hardener
case packer and sealer
case preparer-and-liner
case-finishing-machine adjuster
case-loader operator
case-making-machine operator
caser
caser, shoe parts
cash-register servicer
cashier i
cashier ii
cashier, courtesy booth
cashier, gambling
cashier, tube room
cashier-checker
cashier-wrapper
casing cleaner
casing grader
casing sewer
casing splitter
casing tier
casing-fluid tender
casing-in-line feeder
casing-in-line setter
casing-machine operator
casing-material weigher
casing-running-machine tender
casket assembler
casket assembler, metal
casket coverer
casket inspector
casket liner
caster
caster helper
casting inspector
casting operator
casting repairer
casting-and-curing operator
casting-house worker
casting-machine operator
casting-machine operator, automatic
casting-machine-operator helper
casting-machine-service operator
casting-operator helper
casting-plug assembler
casting-room operator
casting-wheel operator
casting-wheel-operator helper
catalog librarian
catalyst operator, chief
catalyst operator, gasoline
catalyst-recovery operator
catalytic-converter operator
catalytic-converter-operator helper
catcher
catcher, filter tip
caterer helper
catheter builder
cathode maker
cathode ray tube salvage processor
caustic operator
causticiser
cd-mixer
cd-mixer helper
cd-reactor operator
cd-reactor operator, head
cd-storage-and-materials make-up helper
cd-storage-and-materials-make-up operator, head
cell changer
cell cleaner
cell coverer
cell inspector
cell installer
cell maker
cell plasterer
cell preparer
cell repairer
cell stripper
cell tender
cell tester
cell tuber, hand
cell tuber, machine
cell-feed-department supervisor
cell-tender helper
cellar supervisor
cellophane-bath mixer
cellophane-casting-machine repairer
celluloid trimmer
cement fittings maker
cement loader
cement mason
cement mixer
cement sprayer helper, nozzle
cement-boat-and-barge loader
cement-mason apprentice
cementer
cementer and folder, machine
cementer, hand
cementer, machine
cementer, machine applicator
cementer, machine joiner
cemetery worker
center-machine operator
center-punch operator
central-office equipment engineer
central-office installer
central-office operator
central-office repairer
central-office-operator supervisor
central-office-repairer supervisor
central-supply worker
centrifugal operator
centrifugal spinner
centrifugal-casting-machine operator
centrifugal-casting-machine operator i
centrifugal-casting-machine operator ii
centrifugal-casting-machine operator iii
centrifugal-casting-machine tender
centrifugal-drier operator
centrifugal-station operator, automatic
centrifuge operator
centrifuge operator, plasma processing
centrifuge-separator operator
centrifuge-separator tender
cephalometric analyst
ceramic capacitor processor
ceramic coater, machine
ceramic design engineer
ceramic engineer
ceramic research engineer
ceramics test engineer
certification and selection specialist
certified medication technician
chain builder, loom control
chain maker, hand
chain maker, machine
chain offbearer
chain repairer
chain saw operator
chain-testing-machine operator
chainstitch sewing machine operator
chair inspector and leveler
chair upholsterer
chalk cutter
chalk-extruding-machine operator
chalk-molding-machine operator
chamfering-machine operator i
chamfering-machine operator ii
change person
change-house attendant
channel installer
channel opener, outsoles
channeler, insole
channeling-machine runner
chaperon
char puller
char-conveyor tender
char-dust cleaner and salvager
char-filter operator
char-filter-operator helper
char-filter-tank tender, head
charcoal burner, beehive kiln
charge preparation technician
charge-account clerk
charge-machine operator
charger i
charger ii
charger operator
charger-operator helper
charging-machine operator
chart calculator
chart changer
chart clerk
charter
chaser
chaser, tar
chauffeur
chauffeur, funeral car
check cashier
check weigher
check writer
checker
checker i
checker ii
checker, bakery products
checker, dump grounds
checker, film tests
checker-in
checkering-machine adjuster
checkroom attendant
checkroom chief
cheese blender
cheese cutter
cheese grader
cheese sprayer
cheesemaker
cheesemaker helper
chef
chef de froid
chef, passenger vessel
chemical compounder
chemical design engineer, processes
chemical engineer
chemical laboratory chief
chemical laboratory technician
chemical mixer
chemical operator ii
chemical operator iii
chemical preparer
chemical reclamation equipment operator
chemical research engineer
chemical-compounder helper
chemical-engineering technician
chemical-equipment sales engineer
chemical-etching processor
chemical-processing supervisor
chemical-radiation technician
chemical-strength tester
chemical-test engineer
chemist
chemist, food
chemist, instrumentation
chemist, wastewater-treatment plant
chemist, water purification
cherry cutter
cherry-picker operator
chest-painting and sealing supervisor
chick grader
chick sexer
chicle-grinder feeder
chief bank examiner
chief clerk, measurement department
chief clerk, print shop
chief dispatcher
chief drafter
chief engineer
chief engineer, research
chief engineer, waterworks
chief inspector
chief librarian, branch or department
chief load dispatcher
